Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,2017,8,August,248,0,15
B00084,AUTOMOTIVE SVC SYSTEM INC,,2017,4,April,94,0,12
B03266,HOYT LIMO & SERVICE CORP.,,2020,11,November,"8,452",0,46
B02509,NY MINUTE CAR SERVICE INC.,,2018,6,June,"13,013",0,100
B01721,W.K. CAR & LIMO SERVICE INC,,2017,6,June,"3,150",0,22
B01970,GRAFE STREET SERVICE CORP.,,2017,8,August,368,0,11
B01215,ECUADOOR CORP,,2017,1,January,"17,582",0,66
B02699,PRESIDENTIAL LUXURY LIMO INC.,,2017,7,July,"1,204",0,49
B02594,FENIX MOBILE DISPATCHERS LTD,,2018,9,September,424,0,2
B01492,MOBILE #1 CAR SERVICE INC.,,2017,9,September,63,0,7
B03011,GOOD DAY TRANSPORTATION INC,,2019,7,July,121,0,4
B01061,DAT RADIO DISP INC,,2015,12,December,"66,800",0,262
B02613,NYC STAR LIMOUSINE & CAR SERVICES CORP.,NYS CAR SERVICE,2017,8,August,"2,060",0,17
B01710,"79 MASADA III, INC.",MASADA III,2018,2,February,"2,234",0,17
B01145,ULTRA RADIO DISP INC,,2021,10,October,"28,546",0,167
B00937,RIVERSIDE RADIO DISPATCHER,,2016,7,July,"58,525",0,294
B00856,BEE-BEE CAR SERVICE INC.,,2019,6,June,"40,073",0,196
B02641,AVENUE X CAR SERVICE INC.,PRESTIGE CAR SERVICE,2020,2,February,"2,535",0,17
B01808,OLD TOWN CARS CORP,DELTA CARS,2018,5,May,"2,675",0,6
B01629,BBA MANAGEMENT INC.,UNITED CAR & LIMO SERVICE,2021,2,February,839,0,4
B00095,LIBERTY CAR SERVICE INC.,,2019,1,January,"3,375",0,18
B00319,AVENTINE AUTO RENTAL INC,SAFEWAY CAR SVCE,2019,9,September,950,0,6
B03038,"SOUTH BRONX TRANSPORTATION,INC.",,2018,12,December,118,0,3
B02463,MORENITA EXPRESS CAR SERVICE INC.,,2018,2,February,"1,092",0,7
B02521,"PICTURE PROPERTIES, INC.",DEUCES TRANSPORT SERVICES,2017,9,September,"2,242",0,16
B00628,"CONCORD LIMOUSINE 1, LLC",,2015,10,October,"21,149",0,385
B00837,"CAREY LIMOUSINE NY, INC",,2020,9,September,"3,426",0,70
