DATE	DAILY_ENTRIES
2015-12-27	2874095.0
2015-12-28	4971143.0
2015-12-29	4993735.0
2015-12-30	5329234.0
2015-12-31	4673037.0
2016-01-01	2781994.0
2016-01-02	3197979.0
2016-01-03	2657364.0
2016-01-04	5637350.0
2016-01-05	5637759.0
2016-01-06	5925936.0
2016-01-07	5889611.0
2016-01-08	5887379.0
2016-01-09	3341627.0
2016-01-10	2433298.0
2016-01-11	5687244.0
2016-01-12	5908158.0
2016-01-13	5985797.0
2016-01-14	5925777.0
2016-01-15	5859531.0
2016-01-16	3285868.0
2016-01-17	2626341.0
2016-01-18	3490598.0
2016-01-19	5696495.0
2016-01-20	5967734.0
2016-01-21	6015726.0
2016-01-22	5893897.0
2016-01-23	1378788.0
2016-01-24	1682180.0
2016-01-25	5472057.0
2016-01-26	5978026.0
2016-01-27	6048547.0
2016-01-28	6050676.0
2016-01-29	5939854.0
2016-01-30	3631182.0
2016-01-31	2697509.0
2016-02-01	5745842.0
2016-02-02	6147919.0
2016-02-03	6064236.0
2016-02-04	6197072.0
2016-02-05	6066112.0
2016-02-06	3447838.0
2016-02-07	2604318.0
2016-02-08	5387120.0
2016-02-09	5988594.0
2016-02-10	6136083.0
2016-02-11	6202451.0
2016-02-12	5676603.0
2016-02-13	3080182.0
2016-02-14	2204043.0
2016-02-15	3238318.0
2016-02-16	5292126.0
2016-02-17	5776763.0
2016-02-18	5806992.0
2016-02-19	5664223.0
2016-02-20	3420570.0
2016-02-21	2576839.0
2016-02-22	5812146.0
2016-02-23	6007071.0
2016-02-24	5896385.0
2016-02-25	6134012.0
2016-02-26	6007133.0
2016-02-27	3577788.0
2016-02-28	2720707.0
2016-02-29	5804079.0
2016-03-01	6112654.0
2016-03-02	6105878.0
2016-03-03	6220992.0
2016-03-04	5950697.0
2016-03-05	3539632.0
2016-03-06	2731810.0
2016-03-07	5892554.0
2016-03-08	6179453.0
2016-03-09	6279512.0
2016-03-10	6290741.0
2016-03-11	6194976.0
2016-03-12	3640276.0
2016-03-13	2588145.0
2016-03-14	5693066.0
2016-03-15	6186992.0
2016-03-16	6348635.0
2016-03-17	6274131.0
2016-03-18	6255214.0
2016-03-19	3688400.0
2016-03-20	2876966.0
2016-03-21	5763585.0
2016-03-22	6083762.0
2016-03-23	6192738.0
2016-03-24	6224536.0
2016-03-25	5157847.0
2016-03-26	3814523.0
2016-03-27	2784466.0
2016-03-28	5620152.0
2016-03-29	6171665.0
2016-03-30	6275243.0
2016-03-31	6347232.0
2016-04-01	6180526.0
2016-04-02	3668374.0
2016-04-03	2762065.0
2016-04-04	5781537.0
2016-04-05	6167105.0
2016-04-06	6281029.0
2016-04-07	6173195.0
2016-04-08	6245050.0
2016-04-09	3430753.0
2016-04-10	2878811.0
2016-04-11	5909718.0
2016-04-12	6117156.0
2016-04-13	6399786.0
2016-04-14	6366232.0
2016-04-15	6209291.0
2016-04-16	3785276.0
2016-04-17	3013442.0
2016-04-18	5904879.0
2016-04-19	6194295.0
2016-04-20	6286258.0
2016-04-21	6264899.0
2016-04-22	5974963.0
2016-04-23	3544601.0
2016-04-24	2952570.0
2016-04-25	5363360.0
2016-04-26	5603227.0
2016-04-27	5745543.0
2016-04-28	5834272.0
2016-04-29	5546086.0
2016-04-30	3561984.0
2016-05-01	2686053.0
2016-05-02	5739080.0
2016-05-03	6254728.0
2016-05-04	6280891.0
2016-05-05	6285959.0
2016-05-06	6129762.0
2016-05-07	3591421.0
2016-05-08	2801927.0
2016-05-09	5940437.0
2016-05-10	6208638.0
2016-05-11	6280771.0
2016-05-12	6280546.0
2016-05-13	6178778.0
2016-05-14	3805834.0
2016-05-15	3045010.0
2016-05-16	6023651.0
2016-05-17	6286628.0
2016-05-18	6404240.0
2016-05-19	6314178.0
2016-05-20	6177033.0
2016-05-21	4045080.0
2016-05-22	2863559.0
2016-05-23	5922461.0
2016-05-24	6122206.0
2016-05-25	6349016.0
2016-05-26	6301845.0
2016-05-27	5895510.0
2016-05-28	3470127.0
2016-05-29	2942402.0
2016-05-30	2655196.0
2016-05-31	5785799.0
2016-06-01	6236161.0
2016-06-02	6259674.0
2016-06-03	6066132.0
2016-06-04	3670095.0
2016-06-05	2864809.0
2016-06-06	5954726.0
2016-06-07	6244638.0
2016-06-08	6255548.0
2016-06-09	6174309.0
2016-06-10	6138758.0
2016-06-11	3618735.0
2016-06-12	3060200.0
2016-06-13	5758133.0
2016-06-14	6052782.0
2016-06-15	6259813.0
2016-06-16	6169207.0
2016-06-17	6033886.0
2016-06-18	3795180.0
2016-06-19	2875509.0
2016-06-20	5842469.0
2016-06-21	6027680.0
2016-06-22	6134283.0
2016-06-23	6021627.0
2016-06-24	5955397.0
2016-06-25	3773451.0
2016-06-26	3275191.0
2016-06-27	5731822.0
2016-06-28	5886094.0
2016-06-29	5873272.0
2016-06-30	5895427.0
2016-07-01	5306005.0
2016-07-02	3267260.0
2016-07-03	2769391.0
2016-07-04	2672055.0
2016-07-05	5442045.0
2016-07-06	5695062.0
2016-07-07	5754280.0
2016-07-08	5607223.0
2016-07-09	3304750.0
2016-07-10	2817718.0
2016-07-11	5557789.0
2016-07-12	5842269.0
2016-07-13	5965158.0
2016-07-14	5857787.0
2016-07-15	5650954.0
2016-07-16	3488672.0
2016-07-17	2841315.0
2016-07-18	5499333.0
2016-07-19	5904113.0
2016-07-20	6051295.0
2016-07-21	5992989.0
2016-07-22	5889145.0
2016-07-23	3399247.0
2016-07-24	2861134.0
2016-07-25	5428222.0
2016-07-26	5850555.0
2016-07-27	5930573.0
2016-07-28	5877754.0
2016-07-29	5490550.0
2016-07-30	3454581.0
2016-07-31	2587481.0
2016-08-01	5375894.0
2016-08-02	5745427.0
2016-08-03	5898497.0
2016-08-04	5869233.0
2016-08-05	5647014.0
2016-08-06	3340615.0
2016-08-07	2831388.0
2016-08-08	5368255.0
2016-08-09	5711335.0
2016-08-10	5679291.0
2016-08-11	5675013.0
2016-08-12	5391507.0
2016-08-13	3215392.0
2016-08-14	2611608.0
2016-08-15	5189712.0
2016-08-16	5525072.0
2016-08-17	5531396.0
2016-08-18	5525506.0
2016-08-19	5282368.0
2016-08-20	3381960.0
2016-08-21	2690012.0
2016-08-22	5219135.0
2016-08-23	5519834.0
2016-08-24	5484573.0
2016-08-25	5579499.0
2016-08-26	5391036.0
2016-08-27	3377698.0
2016-08-28	2783746.0
2016-08-29	5251273.0
2016-08-30	5551868.0
2016-08-31	5611588.0
2016-09-01	5509813.0
2016-09-02	5255875.0
2016-09-03	3368211.0
2016-09-04	2796554.0
2016-09-05	2749603.0
2016-09-06	5597162.0
2016-09-07	6053217.0
2016-09-08	6370511.0
2016-09-09	6087305.0
2016-09-10	3552362.0
2016-09-11	2929111.0
2016-09-12	5644397.0
2016-09-13	6247507.0
2016-09-14	6428198.0
2016-09-15	6356368.0
2016-09-16	6258921.0
2016-09-17	3633757.0
2016-09-18	2849272.0
2016-09-19	5769772.0
2016-09-20	6363744.0
2016-09-21	6433407.0
2016-09-22	6356905.0
2016-09-23	6240723.0
2016-09-24	3749483.0
2016-09-25	2970533.0
2016-09-26	6029317.0
2016-09-27	6183788.0
2016-09-28	6340104.0
2016-09-29	6305358.0
2016-09-30	6266462.0
