	MONTH	MONTHLY_ENTRIES
1	2015-01	141534743.0
2	2015-02	138495728.0
3	2015-03	161413306.0
4	2015-04	159284196.0
5	2015-05	160836890.0
6	2015-06	161153709.0
7	2015-07	157701091.0
8	2015-08	148900731.0
9	2015-09	156235815.0
10	2015-10	169384812.0
11	2015-11	153471293.0
12	2015-12	156923289.0
13	2016-01	144612282.0
14	2016-02	144683565.0
15	2016-03	165486473.0
16	2016-04	156146283.0
17	2016-05	161068766.0
18	2016-06	159905008.0
19	2016-07	148056705.0
20	2016-08	151256745.0
21	2016-09	156697740.0
22	2016-10	157971871.0
23	2016-11	154836679.0
24	2016-12	151487527.0
25	2017-01	147389997.0
26	2017-02	138069541.0
27	2017-03	162620673.0
28	2017-04	153113900.0
29	2017-05	163817699.0
30	2017-06	160130400.0
31	2017-07	147562867.0
32	2017-08	152320324.0
33	2017-09	153016035.0
34	2017-10	163561605.0
35	2017-11	154659866.0
36	2017-12	145977454.0
37	2018-01	144448949.0
38	2018-02	136630015.0
39	2018-03	153684014.0
40	2018-04	152267680.0
41	2018-05	161104073.0
42	2018-06	152842323.0
43	2018-07	146118967.0
44	2018-08	147127616.0
45	2018-09	145226444.0
46	2018-10	165253448.0
47	2018-11	151195222.0
48	2018-12	146172641.0
49	2019-01	144899392.0
50	2019-02	135578177.0
51	2019-03	154700123.0
52	2019-04	156225057.0
53	2019-05	162395331.0
54	2019-06	156576065.0
55	2019-07	149806770.0
56	2019-08	147829086.0
57	2019-09	153551953.0
58	2019-10	165768864.0
59	2019-11	150558439.0
60	2019-12	149133750.0
61	2020-01	146933199.0
62	2020-02	137394795.0
63	2020-03	78122035.0
64	2020-04	12979128.0
65	2020-05	16724382.0
66	2020-06	25469501.0
67	2020-07	33768011.0
68	2020-08	36178392.0
69	2020-09	43030797.0
70	2020-10	47828318.0
71	2020-11	43113759.0
72	2020-12	41548403.0
73	2021-01	39815913.0
74	2021-02	36340821.0
75	2021-03	46546571.0
76	2021-04	48354794.0
77	2021-05	52298343.0
78	2021-06	57464572.0
79	2021-07	57327806.0
80	2021-08	56372678.0
81	2021-09	62201886.0
82	2021-10	69497588.0
83	2021-11	68159219.0
84	2021-12	63615331.0
